Species Key	Species ID	Species Label	Active Taxa	Group
3704-Armoracia-rusticana-horseradish	3704	Armoracia rusticana (horseradish)	3704	plant
3707-Brassica-juncea-Indian-mustard	3707	Brassica juncea (Indian mustard)	3707	plant
3708-Brassica-napus-oilseed-rape	3708	Brassica napus (oilseed rape)	3708	plant
3711-Brassica-rapa-field-mustard	3711	Brassica rapa (field mustard)	3711	plant
3726-Raphanus-sativus-radish	3726	Raphanus sativus (radish)	3726	plant
3728-Sinapis-alba-bai-jie	3728	Sinapis alba (bai jie)	3728	plant
3750-Malus-domestica-apple	3750	Malus domestica (apple)	3750	plant
3755-Prunus-dulcis-almond	3755	Prunus dulcis (almond)	3755	plant
3758-Prunus-domestica-plum	3758	Prunus domestica (plum)	3758	plant
3760-Prunus-persica-peach	3760	Prunus persica (peach)	3760	plant
3816-Abrus-precatorius-Indian-licorice	3816	Abrus precatorius (Indian licorice)	3816	plant
3818-Arachis-hypogaea-peanut	3818	Arachis hypogaea (peanut)	3818	plant
3847-Glycine-max-soybean	3847	Glycine max (soybean)	3847	plant
3864-Lens-culinaris-lentil	3864	Lens culinaris (lentil)	3864	plant
3885-Phaseolus-vulgaris-French-bean	3885	Phaseolus vulgaris (French bean)	3885	plant
3888-Pisum-sativum-garden-pea	3888	Pisum sativum (garden pea)	3888	plant
3972-Viscum-album-European-mistletoe	3972	Viscum album (European mistletoe)	3972	plant
3981-Hevea-brasiliensis-rubbertree	3981	Hevea brasiliensis (rubbertree)	3981	plant
3988-Ricinus-communis-castor-bean	3988	Ricinus communis (castor bean)	3988	plant
4026-Acer-pseudoplatanus-sycamore-maple	4026	Acer pseudoplatanus (sycamore maple)	4026	plant
4039-Daucus-carota-Queen-Annes-lace	4039	Daucus carota (Queen Anne's lace)	4039	plant
4045-Apium-graveolens-celery	4045	Apium graveolens (celery)	4045	plant
4081-Solanum-lycopersicum-tomato	4081	Solanum lycopersicum (tomato)	4081	plant
4097-Nicotiana-tabacum-American-tobacco	4097	Nicotiana tabacum (American tobacco)	4097	plant
4100-Nicotiana-benthamiana	4100	Nicotiana benthamiana	4100	plant
4113-Solanum-tuberosum-potato	4113	Solanum tuberosum (potato)	4113	plant
4120-Ipomoea-batatas-batate	4120	Ipomoea batatas (batate)	4120	plant
4146-Olea-europaea-common-olive	4146	Olea europaea (common olive)	4146	plant
4182-Sesamum-indicum-beniseed	4182	Sesamum indicum (beniseed)	4182	plant
4212-Ambrosia-artemisiifolia-annual-ragweed	4212	Ambrosia artemisiifolia (annual ragweed)	4215, 4212	plant
4214-Ambrosia-trifida-giant-ragweed	4214	Ambrosia trifida (giant ragweed)	4214	plant
4220-Artemisia-vulgaris-mugwort	4220	Artemisia vulgaris (mugwort)	4220	plant
4232-Helianthus-annuus-common-sunflower	4232	Helianthus annuus (common sunflower)	4232	plant
4498-Avena-sativa-cultivated-oat	4498	Avena sativa (cultivated oat)	4498	plant
4509-Dactylis-glomerata-cocksfoot	4509	Dactylis glomerata (cocksfoot)	4509	plant
4513-Hordeum-vulgare-barley	4513	Hordeum vulgare (barley)	77009, 112509, 4513	plant
4522-Lolium-perenne-perennial-ryegrass	4522	Lolium perenne (perennial ryegrass)	4522	plant
4530-Oryza-sativa-Asian-cultivated-rice	4530	Oryza sativa (Asian cultivated rice)	4530, 39947	plant
4545-Poa-pratensis-Kentucky-bluegrass	4545	Poa pratensis (Kentucky bluegrass)	4545	plant
4550-Secale-cereale-rye	4550	Secale cereale (rye)	4550, 155091	plant
4558-Sorghum-bicolor-broomcorn	4558	Sorghum bicolor (broomcorn)	4558	plant
4565-Triticum-aestivum-Canadian-hard-winter-wheat	4565	Triticum aestivum (Canadian hard winter wheat)	4565	plant
4568-Triticum-monococcum-einkorn-wheat	4568	Triticum monococcum (einkorn wheat)	4568	plant
4571-Triticum-turgidum-English-wheat	4571	Triticum turgidum (English wheat)	4567	plant
4573-Aegilops-speltoides	4573	Aegilops speltoides	4573	plant
4577-Zea-mays-maize	4577	Zea mays (maize)	76912, 4577	plant
4606-Lolium-arundinaceum-tall-fescue	4606	Lolium arundinaceum (tall fescue)	4606	plant
4615-Ananas-comosus-pineapple	4615	Ananas comosus (pineapple)	4615	plant
4641-Musa-acuminata-banana	4641	Musa acuminata (banana)	214697, 4641	plant
4754-Pneumocystis-carinii-Pneumocystis-carinii-f-sp-carinii	4754	Pneumocystis carinii (Pneumocystis carinii f. sp. carinii)	4754	other-eukaryote
4784-Phytophthora-capsici	4784	Phytophthora capsici	4784	other-eukaryote
4792-Phytophthora-parasitica	4792	Phytophthora parasitica	4792	other-eukaryote
4903-Cyberlindnera-jadinii	4903	Cyberlindnera jadinii	4903	other-eukaryote
4920-Millerozyma-farinosa	4920	Millerozyma farinosa	4920	other-eukaryote
4932-Saccharomyces-cerevisiae-bakers-yeast	4932	Saccharomyces cerevisiae (baker's yeast)	643680, 4932, 559292, 285006	other-eukaryote
4954-Zygosaccharomyces-bailii	4954	Zygosaccharomyces bailii	4954	other-eukaryote
5037-Histoplasma-capsulatum	5037	Histoplasma capsulatum	5037, 447093	other-eukaryote
5039-Blastomyces-dermatitidis	5039	Blastomyces dermatitidis	5039, 653446, 10000828, 447095	other-eukaryote
5057-Aspergillus-clavatus	5057	Aspergillus clavatus	5057	other-eukaryote
5059-Aspergillus-flavus	5059	Aspergillus flavus	5059	other-eukaryote
5060-Aspergillus-giganteus	5060	Aspergillus giganteus	5060	other-eukaryote
5061-Aspergillus-niger	5061	Aspergillus niger	5061	other-eukaryote
5064-Aspergillus-restrictus	5064	Aspergillus restrictus	5064	other-eukaryote
5067-Aspergillus-parasiticus	5067	Aspergillus parasiticus	5067	other-eukaryote
5076-Penicillium-chrysogenum	5076	Penicillium chrysogenum	5076	other-eukaryote
5077-Penicillium-citrinum	5077	Penicillium citrinum	5077	other-eukaryote
5116-Cryphonectria-parasitica-chestnut-blight-fungus	5116	Cryphonectria parasitica (chestnut blight fungus)	660469	other-eukaryote
5141-Neurospora-crassa	5141	Neurospora crassa	5141	other-eukaryote
5207-Cryptococcus-neoformans	5207	Cryptococcus neoformans	235443, 178876, 10001120, 10001132, 283643, 5207	other-eukaryote
5270-Ustilago-maydis	5270	Ustilago maydis	237631	other-eukaryote
5325-Trametes-versicolor	5325	Trametes versicolor	5325	other-eukaryote
5334-Schizophyllum-commune	5334	Schizophyllum commune	5334	other-eukaryote
5346-Coprinopsis-cinerea	5346	Coprinopsis cinerea	5346	other-eukaryote
5476-Candida-albicans	5476	Candida albicans	10000337, 10000335, 10000339, 10001652, 237561, 5476	other-eukaryote
5478-Nakaseomyces-glabratus	5478	Nakaseomyces glabratus	10001740	other-eukaryote
5480-Candida-parapsilosis	5480	Candida parapsilosis	10001747, 5480	other-eukaryote
5482-Candida-tropicalis	5482	Candida tropicalis	5482	other-eukaryote
5501-Coccidioides-immitis	5501	Coccidioides immitis	5501	other-eukaryote
5503-Curvularia-lunata	5503	Curvularia lunata	5503	other-eukaryote
5507-Fusarium-oxysporum	5507	Fusarium oxysporum	5507	other-eukaryote
5518-Fusarium-graminearum	5518	Fusarium graminearum	5518	other-eukaryote
5551-Trichophyton-rubrum	5551	Trichophyton rubrum	5551	other-eukaryote
5554-Cutaneotrichosporon-cutaneum	5554	Cutaneotrichosporon cutaneum	5554	other-eukaryote
5580-Aureobasidium-pullulans	5580	Aureobasidium pullulans	5580	other-eukaryote
5599-Alternaria-alternata	5599	Alternaria alternata	5599	other-eukaryote
5659-Leishmania-amazonensis	5659	Leishmania amazonensis	5659	other-eukaryote
5660-Leishmania-braziliensis	5660	Leishmania braziliensis	5660, 420245	other-eukaryote
5661-Leishmania-donovani	5661	Leishmania donovani	10000341, 99875, 981087, 5661	other-eukaryote
5664-Leishmania-major	5664	Leishmania major	347515, 5664	other-eukaryote
5665-Leishmania-mexicana	5665	Leishmania mexicana	5665, 929439	other-eukaryote
5667-Leishmania-aethiopica	5667	Leishmania aethiopica	5667	other-eukaryote
5671-Leishmania-infantum	5671	Leishmania infantum	10000345, 435258, 5671	other-eukaryote
5679-Leishmania-panamensis	5679	Leishmania panamensis	5679	other-eukaryote
5682-Leishmania-pifanoi	5682	Leishmania pifanoi	5682	other-eukaryote
5691-Trypanosoma-brucei	5691	Trypanosoma brucei	5702, 185431, 679716, 31286, 31285, 5691	other-eukaryote
5692-Trypanosoma-congolense	5692	Trypanosoma congolense	5692	other-eukaryote
5693-Trypanosoma-cruzi	5693	Trypanosoma cruzi	85057, 1416333, 353153, 5693, 10000348, 10000351	other-eukaryote
5699-Trypanosoma-vivax	5699	Trypanosoma vivax	1055687	other-eukaryote
5722-Trichomonas-vaginalis	5722	Trichomonas vaginalis	5722	other-eukaryote
5741-Giardia-intestinalis-Giardia-lamblia	5741	Giardia intestinalis (Giardia lamblia)	5741, 184922, 658858, 598745	other-eukaryote
5755-Acanthamoeba-castellanii	5755	Acanthamoeba castellanii	5755	other-eukaryote
5759-Entamoeba-histolytica	5759	Entamoeba histolytica	294381, 885311, 10000352, 5759	other-eukaryote
5762-Naegleria-gruberi	5762	Naegleria gruberi	5762	other-eukaryote
5801-Eimeria-acervulina	5801	Eimeria acervulina	5801	other-eukaryote
5802-Eimeria-tenella	5802	Eimeria tenella	5802	other-eukaryote
5807-Cryptosporidium-parvum	5807	Cryptosporidium parvum	5807, 353152	other-eukaryote
5811-Toxoplasma-gondii	5811	Toxoplasma gondii	398031, 1209523, 10000353, 5811, 383379, 507601, 10002052, 10000355, 508771, 432359, 1209525, 10000354	other-eukaryote
5821-Plasmodium-berghei	5821	Plasmodium berghei	10000356, 5821, 5823	other-eukaryote
5824-Plasmodium-brasilianum	5824	Plasmodium brasilianum	5824	other-eukaryote
5825-Plasmodium-chabaudi	5825	Plasmodium chabaudi	5825, 10000357, 31271	other-eukaryote
5827-Plasmodium-cynomolgi	5827	Plasmodium cynomolgi	5828, 5827	other-eukaryote
5833-Plasmodium-falciparum-malaria-parasite-P-falciparum	5833	Plasmodium falciparum (malaria parasite P. falciparum)	10000362, 5834, 5839, 5838, 36329, 5833, 10000371, 10000816, 57270, 5846, 5840, 10002008, 10000360, 5841, 5836, 10002009, 5843, 5848, 5842, 10000369, 10000361, 10000363, 10000373, 10002007, 5837, 10000375, 10000366, 10002011, 10000370, 10000376, 5835, 57266, 10000358, 1036723	other-eukaryote
5850-Plasmodium-knowlesi	5850	Plasmodium knowlesi	5851, 5850, 5852	other-eukaryote
5855-Plasmodium-vivax-malaria-parasite-P-vivax	5855	Plasmodium vivax (malaria parasite P. vivax)	10000378, 126793, 5855, 10000862, 10002558, 1035514, 31273	other-eukaryote
5857-Plasmodium-fragile	5857	Plasmodium fragile	5857	other-eukaryote
5858-Plasmodium-malariae	5858	Plasmodium malariae	5858	other-eukaryote
5861-Plasmodium-yoelii	5861	Plasmodium yoelii	10000381, 5861, 352914, 10000555, 73239	other-eukaryote
5865-Babesia-bovis	5865	Babesia bovis	5865, 10001459, 10000383, 10000382	other-eukaryote
5866-Babesia-bigemina	5866	Babesia bigemina	5866	other-eukaryote
5868-Babesia-microti	5868	Babesia microti	1133968, 5868	other-eukaryote
5872-Theileria-equi	5872	Theileria equi	5872	other-eukaryote
5874-Theileria-annulata	5874	Theileria annulata	5874, 353154	other-eukaryote
5875-Theileria-parva	5875	Theileria parva	10001243, 5875, 333668	other-eukaryote
5877-Theileria-sergenti	5877	Theileria sergenti	10000851, 10000848, 10000850, 5877, 10000849	other-eukaryote
5970-Exophiala-dermatitidis	5970	Exophiala dermatitidis	5970	other-eukaryote
6035-Encephalitozoon-cuniculi	6035	Encephalitozoon cuniculi	6035, 284813	other-eukaryote
6100-Aequorea-victoria	6100	Aequorea victoria	6100	other-eukaryote
6182-Schistosoma-japonicum	6182	Schistosoma japonicum	6182	other-eukaryote
6183-Schistosoma-mansoni	6183	Schistosoma mansoni	6183, 10000385	other-eukaryote
6184-Schistosoma-bovis	6184	Schistosoma bovis	6184	other-eukaryote
6192-Fasciola-hepatica-liver-fluke	6192	Fasciola hepatica (liver fluke)	6192	other-eukaryote
6198-Opisthorchis-viverrini-Southeast-Asian-liver-fluke	6198	Opisthorchis viverrini (Southeast Asian liver fluke)	6198	other-eukaryote
6203-Taenia-ovis-sheep-tapeworm	6203	Taenia ovis (sheep tapeworm)	6203	other-eukaryote
6204-Taenia-solium-pig-tapeworm	6204	Taenia solium (pig tapeworm)	6204	other-eukaryote
6206-Taenia-saginata-beef-tapeworm	6206	Taenia saginata (beef tapeworm)	6206	other-eukaryote
6207-Taenia-crassiceps	6207	Taenia crassiceps	6207, 10000802	other-eukaryote
6210-Echinococcus-granulosus	6210	Echinococcus granulosus	6210	other-eukaryote
6211-Echinococcus-multilocularis	6211	Echinococcus multilocularis	6211	other-eukaryote
6238-Caenorhabditis-briggsae	6238	Caenorhabditis briggsae	6238	other-eukaryote
6239-Caenorhabditis-elegans	6239	Caenorhabditis elegans	6239	other-eukaryote
6248-Strongyloides-stercoralis	6248	Strongyloides stercoralis	6248	other-eukaryote
6252-Ascaris-lumbricoides-common-roundworm	6252	Ascaris lumbricoides (common roundworm)	6252	other-eukaryote
6253-Ascaris-suum-pig-roundworm	6253	Ascaris suum (pig roundworm)	6253	other-eukaryote
6265-Toxocara-canis-dog-roundworm	6265	Toxocara canis (dog roundworm)	6265	other-eukaryote
6269-Anisakis-simplex-herring-worm	6269	Anisakis simplex (herring worm)	6269	other-eukaryote
6279-Brugia-malayi-agent-of-lymphatic-filariasis	6279	Brugia malayi (agent of lymphatic filariasis)	6279	other-eukaryote
6280-Brugia-pahangi	6280	Brugia pahangi	6280	other-eukaryote
6282-Onchocerca-volvulus	6282	Onchocerca volvulus	6282	other-eukaryote
6289-Haemonchus-contortus-barber-pole-worm	6289	Haemonchus contortus (barber pole worm)	6289	other-eukaryote
6293-Wuchereria-bancrofti-agent-of-lymphatic-filariasis	6293	Wuchereria bancrofti (agent of lymphatic filariasis)	6293	other-eukaryote
6299-Litomosoides-carinii	6299	Litomosoides carinii	6299	other-eukaryote
6313-Angiostrongylus-cantonensis-rat-lungworm	6313	Angiostrongylus cantonensis (rat lungworm)	6313	other-eukaryote
6334-Trichinella-spiralis	6334	Trichinella spiralis	6334	other-eukaryote
6339-Heligmosomoides-polygyrus	6339	Heligmosomoides polygyrus	6339	other-eukaryote
6421-Hirudo-medicinalis-medicinal-leech	6421	Hirudo medicinalis (medicinal leech)	6421	other-eukaryote
6454-Haliotis-rufescens-California-red-abalone	6454	Haliotis rufescens (California red abalone)	6454	other-eukaryote
6491-Conus-geographus-geography-cone	6491	Conus geographus (geography cone)	6491	other-eukaryote
6492-Conus-magus-magus-cone	6492	Conus magus (magus cone)	6492	other-eukaryote
6493-Conus-striatus-striated-cone	6493	Conus striatus (striated cone)	6493	other-eukaryote
6495-Conus-tulipa-fish-hunting-cone-snail	6495	Conus tulipa (fish-hunting cone snail)	6495	other-eukaryote
6536-Helix-pomatia-Roman-snail	6536	Helix pomatia (Roman snail)	6536	other-eukaryote
6594-Macrocallista-nimbosa-sun-ray-clam	6594	Macrocallista nimbosa (sun-ray clam)	6594	other-eukaryote
6661-Artemia-franciscana	6661	Artemia franciscana	6661	other-eukaryote
6687-Penaeus-monodon-black-tiger-shrimp	6687	Penaeus monodon (black tiger shrimp)	6687	other-eukaryote
6689-Penaeus-vannamei-Pacific-white-shrimp	6689	Penaeus vannamei (Pacific white shrimp)	6689	other-eukaryote
6690-Penaeus-aztecus-brown-shrimp	6690	Penaeus aztecus (brown shrimp)	6690	other-eukaryote
6728-Procambarus-clarkii-red-swamp-crayfish	6728	Procambarus clarkii (red swamp crayfish)	6728	other-eukaryote
6761-Scylla-serrata-Indo-Pacific-swamp-crab	6761	Scylla serrata (Indo-Pacific swamp crab)	6761	other-eukaryote
6819-Euphausia-superba	6819	Euphausia superba	6819	other-eukaryote
6850-Limulus-polyphemus-Atlantic-horseshoe-crab	6850	Limulus polyphemus (Atlantic horseshoe crab)	6850	other-eukaryote
6853-Tachypleus-tridentatus-Chinese-horseshoe-crab	6853	Tachypleus tridentatus (Chinese horseshoe crab)	6853	other-eukaryote
6858-Androctonus-australis-Sahara-scorpion	6858	Androctonus australis (Sahara scorpion)	70175, 6858	other-eukaryote
6859-Androctonus-mauritanicus	6859	Androctonus mauritanicus	6860	other-eukaryote
6878-Centruroides-noxius-Mexican-scorpion	6878	Centruroides noxius (Mexican scorpion)	6878	other-eukaryote
6887-Tityus-serrulatus-Brazilian-scorpion	6887	Tityus serrulatus (Brazilian scorpion)	6887	other-eukaryote
6925-Latrodectus-tredecimguttatus-black-widow	6925	Latrodectus tredecimguttatus (black widow)	6925	other-eukaryote
6938-Ornithodoros-moubata	6938	Ornithodoros moubata	6938	other-eukaryote
6941-Rhipicephalus-microplus-cattle-tick	6941	Rhipicephalus microplus (cattle tick)	6941	other-eukaryote
6945-Ixodes-scapularis-black-legged-tick	6945	Ixodes scapularis (black-legged tick)	6945	other-eukaryote
6954-Dermatophagoides-farinae-American-house-dust-mite	6954	Dermatophagoides farinae (American house dust mite)	6954	other-eukaryote
6956-Dermatophagoides-pteronyssinus-European-house-dust-mite	6956	Dermatophagoides pteronyssinus (European house dust mite)	6956	other-eukaryote
6958-Euroglyphus-maynei	6958	Euroglyphus maynei	6958	other-eukaryote
6973-Blattella-germanica-German-cockroach	6973	Blattella germanica (German cockroach)	6973	other-eukaryote
6978-Periplaneta-americana-American-cockroach	6978	Periplaneta americana (American cockroach)	6978	other-eukaryote
7004-Locusta-migratoria-migratory-locust	7004	Locusta migratoria (migratory locust)	7004	other-eukaryote
7108-Spodoptera-frugiperda-fall-armyworm	7108	Spodoptera frugiperda (fall armyworm)	7108	other-eukaryote
7130-Manduca-sexta-Carolina-sphinx	7130	Manduca sexta (Carolina sphinx)	7130	other-eukaryote
7137-Galleria-mellonella-greater-wax-moth	7137	Galleria mellonella (greater wax moth)	7137	other-eukaryote
7154-Chironomus-thummi-midge	7154	Chironomus thummi (midge)	7155, 7154	other-eukaryote
7160-Aedes-albopictus-Asian-tiger-mosquito	7160	Aedes albopictus (Asian tiger mosquito)	7160	other-eukaryote
7165-Anopheles-gambiae-African-malaria-mosquito	7165	Anopheles gambiae (African malaria mosquito)	7165, 180454	other-eukaryote
7227-Drosophila-melanogaster-fruit-fly	7227	Drosophila melanogaster (fruit fly)	7227	other-eukaryote
7234-Drosophila-persimilis	7234	Drosophila persimilis	7234	other-eukaryote
7237-Drosophila-pseudoobscura	7237	Drosophila pseudoobscura	46245	other-eukaryote
7386-Sarcophaga-peregrina	7386	Sarcophaga peregrina	7386	other-eukaryote
7394-Glossina-morsitans-tsetse-fly	7394	Glossina morsitans (tsetse fly)	37546	other-eukaryote
7441-Dolichovespula-maculata-bald-faced-hornet	7441	Dolichovespula maculata (bald-faced hornet)	7441	other-eukaryote
7444-Vespa-basalis	7444	Vespa basalis	7444	other-eukaryote
7453-Vespula-maculifrons-eastern-yellowjacket	7453	Vespula maculifrons (eastern yellowjacket)	7453	other-eukaryote
7454-Vespula-vulgaris	7454	Vespula vulgaris	7454	other-eukaryote
7460-Apis-mellifera-European-honey-bee	7460	Apis mellifera (European honey bee)	7460, 7469	other-eukaryote
7515-Ctenocephalides-felis-cat-flea	7515	Ctenocephalides felis (cat flea)	7515	other-eukaryote
7719-Ciona-intestinalis-sea-vase	7719	Ciona intestinalis (sea vase)	7719	other-eukaryote
7726-Styela-plicata	7726	Styela plicata	7726	other-eukaryote
7741-Branchiostoma-belcheri-Belchers-lancelet	7741	Branchiostoma belcheri (Belcher's lancelet)	7741	other-eukaryote
7787-Tetronarce-californica-Pacific-electric-ray	7787	Tetronarce californica (Pacific electric ray)	7787	vertebrate
7788-Torpedo-marmorata-marbled-electric-ray	7788	Torpedo marmorata (marbled electric ray)	7788	vertebrate
7955-Danio-rerio-leopard-danio	7955	Danio rerio (leopard danio)	7955	vertebrate
7957-Carassius-auratus-goldfish	7957	Carassius auratus (goldfish)	7957	vertebrate
7959-Ctenopharyngodon-idella-grass-carp	7959	Ctenopharyngodon idella (grass carp)	7959	vertebrate
7962-Cyprinus-carpio-carp	7962	Cyprinus carpio (carp)	7962	vertebrate
8005-Electrophorus-electricus-electric-eel	8005	Electrophorus electricus (electric eel)	8005	vertebrate
8018-Oncorhynchus-keta-chum-salmon	8018	Oncorhynchus keta (chum salmon)	8018	vertebrate
8022-Oncorhynchus-mykiss-rainbow-trout	8022	Oncorhynchus mykiss (rainbow trout)	8022	vertebrate
8030-Salmo-salar-Atlantic-salmon	8030	Salmo salar (Atlantic salmon)	8030	vertebrate
8049-Gadus-morhua-Atlantic-cod	8049	Gadus morhua (Atlantic cod)	8053, 8049	vertebrate
8090-Oryzias-latipes-Japanese-medaka	8090	Oryzias latipes (Japanese medaka)	8090	vertebrate
8255-Paralichthys-olivaceus-Japanese-flounder	8255	Paralichthys olivaceus (Japanese flounder)	8255	vertebrate
8355-Xenopus-laevis-African-clawed-frog	8355	Xenopus laevis (African clawed frog)	8355	vertebrate
8364-Xenopus-tropicalis-tropical-clawed-frog	8364	Xenopus tropicalis (tropical clawed frog)	8364	vertebrate
8554-Heloderma-suspectum-Gila-monster	8554	Heloderma suspectum (Gila monster)	8554	vertebrate
8613-Bungarus-fasciatus-banded-krait	8613	Bungarus fasciatus (banded krait)	8613	vertebrate
8616-Bungarus-multicinctus-many-banded-krait	8616	Bungarus multicinctus (many-banded krait)	8616	vertebrate
8624-Dendroaspis-polylepis	8624	Dendroaspis polylepis	8620	vertebrate
8654-Naja-nigricollis-black-necked-spitting-cobra	8654	Naja nigricollis (black-necked spitting cobra)	8654	vertebrate
8655-Naja-nivea-cape-cobra	8655	Naja nivea (cape cobra)	8655	vertebrate
8656-Naja-atra-Chinese-cobra	8656	Naja atra (Chinese cobra)	8656	vertebrate
8657-Naja-oxiana-Central-Asian-cobra	8657	Naja oxiana (Central Asian cobra)	8657	vertebrate
8658-Naja-pallida-red-spitting-cobra	8658	Naja pallida (red spitting cobra)	8658	vertebrate
8663-Notechis-scutatus-common-tiger-snake	8663	Notechis scutatus (common tiger snake)	8663	vertebrate
8668-Oxyuranus-scutellatus	8668	Oxyuranus scutellatus	8667	vertebrate
8671-Pseudechis-porphyriacus-red-bellied-black-snake	8671	Pseudechis porphyriacus (red-bellied black snake)	8671	vertebrate
8704-Vipera-ammodytes-sand-viper	8704	Vipera ammodytes (sand viper)	8704	vertebrate
8706-Vipera-aspis-aspic-viper	8706	Vipera aspis (aspic viper)	194601	vertebrate
8722-Bothrops-asper-terciopelo	8722	Bothrops asper (terciopelo)	8722	vertebrate
8724-Bothrops-jararaca-jararaca	8724	Bothrops jararaca (jararaca)	8724	vertebrate
8725-Bothrops-atrox-barba-amarilla	8725	Bothrops atrox (barba amarilla)	8725	vertebrate
8726-Bothrops-jararacussu-jararacussu	8726	Bothrops jararacussu (jararacussu)	8726	vertebrate
8731-Crotalus-durissus-cascabel	8731	Crotalus durissus (cascabel)	8732	vertebrate
8752-Lachesis-muta-bushmaster	8752	Lachesis muta (bushmaster)	8753	vertebrate
8801-Struthio-camelus-African-ostrich	8801	Struthio camelus (African ostrich)	8801	vertebrate
8839-Anas-platyrhynchos-duck	8839	Anas platyrhynchos (duck)	8839	vertebrate
8845-Anser-cygnoides-Chinese-goose	8845	Anser cygnoides (Chinese goose)	8845	vertebrate
8855-Cairina-moschata-Muscovy-duck	8855	Cairina moschata (Muscovy duck)	8855	vertebrate
8932-Columba-livia-Columba-domestica	8932	Columba livia (Columba domestica)	8932	vertebrate
8996-Numida-meleagris-helmeted-guineafowl	8996	Numida meleagris (helmeted guineafowl)	8996	vertebrate
9014-Colinus-virginianus-bobwhite-quail	9014	Colinus virginianus (bobwhite quail)	9014	vertebrate
9031-Gallus-gallus-chicken	9031	Gallus gallus (chicken)	9031	vertebrate
9054-Phasianus-colchicus-Ring-necked-pheasant	9054	Phasianus colchicus (Ring-necked pheasant)	9057	vertebrate
9085-Catreus-wallichii-cheer-pheasant	9085	Catreus wallichii (cheer pheasant)	9085	vertebrate
9103-Meleagris-gallopavo-common-turkey	9103	Meleagris gallopavo (common turkey)	9103	vertebrate
9258-Ornithorhynchus-anatinus-duck-billed-platypus	9258	Ornithorhynchus anatinus (duck-billed platypus)	9258	vertebrate
9305-Sarcophilus-harrisii-Tasmanian-devil	9305	Sarcophilus harrisii (Tasmanian devil)	9305	vertebrate
9322-Macropus-sp-kangaroo	9322	Macropus sp. (kangaroo)	9322	vertebrate
9337-Trichosurus-vulpecula-common-brush-tailed-possum	9337	Trichosurus vulpecula (common brush-tailed possum)	9337	vertebrate
9402-Pteropus-alecto-black-flying-fox	9402	Pteropus alecto (black flying fox)	9402	vertebrate
9447-Lemur-catta-Ring-tailed-lemur	9447	Lemur catta (Ring-tailed lemur)	9447	vertebrate
9483-Callithrix-jacchus-common-marmoset	9483	Callithrix jacchus (common marmoset)	9483	vertebrate
9488-Saguinus-mystax-black-chested-mustached-tamarin	9488	Saguinus mystax (black-chested mustached tamarin)	9488	vertebrate
9491-Saguinus-imperator-emperor-tamarin	9491	Saguinus imperator (emperor tamarin)	9491	vertebrate
9502-Alouatta-caraya-black-howler-monkey	9502	Alouatta caraya (black howler monkey)	9502	vertebrate
9505-Aotus-trivirgatus-douroucouli	9505	Aotus trivirgatus (douroucouli)	9505	vertebrate
9509-Ateles-geoffroyi-Central-American-spider-monkey	9509	Ateles geoffroyi (Central American spider monkey)	9509	vertebrate
9510-Ateles-paniscus-red-faced-black-spider-monkey	9510	Ateles paniscus (red-faced black spider monkey)	9510	vertebrate
9511-Ateles-sp-spider-monkey	9511	Ateles sp. (spider monkey)	9511	vertebrate
9515-Sapajus-apella-black-capped-capuchin	9515	Sapajus apella (black-capped capuchin)	9515	vertebrate
9519-Lagothrix-lagotricha-Humboldts-woolly-monkey	9519	Lagothrix lagotricha (Humboldt's woolly monkey)	9519	vertebrate
9521-Saimiri-sciureus-South-American-squirrel-monkey	9521	Saimiri sciureus (South American squirrel monkey)	9521	vertebrate
9534-Chlorocebus-aethiops-African-green-monkey	9534	Chlorocebus aethiops (African green monkey)	9534	vertebrate
9538-Erythrocebus-patas-hussar	9538	Erythrocebus patas (hussar)	9538	vertebrate
9541-Macaca-fascicularis-crab-eating-macaque	9541	Macaca fascicularis (crab eating macaque)	9541	vertebrate
9544-Macaca-mulatta-Rhesus-monkey	9544	Macaca mulatta (Rhesus monkey)	9544	vertebrate
9545-Macaca-nemestrina-pig-tailed-macaque	9545	Macaca nemestrina (pig-tailed macaque)	9545	vertebrate
9548-Macaca-radiata-bonnet-macaque	9548	Macaca radiata (bonnet macaque)	9548	vertebrate
9555-Papio-anubis-Doguera-baboon	9555	Papio anubis (Doguera baboon)	9555	vertebrate
9556-Papio-cynocephalus-Yellow-baboon	9556	Papio cynocephalus (Yellow baboon)	9556	vertebrate
9580-Hylobates-lar-common-gibbon	9580	Hylobates lar (common gibbon)	9580	vertebrate
9593-Gorilla-gorilla	9593	Gorilla gorilla	9593, 9595	vertebrate
9597-Pan-paniscus-bonobo	9597	Pan paniscus (bonobo)	9597	vertebrate
9598-Pan-troglodytes-chimpanzee	9598	Pan troglodytes (chimpanzee)	9598	vertebrate
9600-Pongo-pygmaeus-Bornean-orangutan	9600	Pongo pygmaeus (Bornean orangutan)	9600	vertebrate
9601-Pongo-abelii-Sumatran-orangutan	9601	Pongo abelii (Sumatran orangutan)	9601	vertebrate
9606-Homo-sapiens-human	9606	Homo sapiens (human)	9606	vertebrate
9612-Canis-lupus-wolf-or-dog	9612	Canis lupus (wolf or dog)	9615	vertebrate
9627-Vulpes-vulpes-red-fox	9627	Vulpes vulpes (red fox)	9627	vertebrate
9666-Mustela-lutreola-European-mink	9666	Mustela lutreola (European mink)	9666	vertebrate
